blend,bra,colo,gua,man,moch,kili
colo6gua3bra1,1,6,3,0,0,0
colo6man4,0,6,0,4,0,0
colo6man3bra1,1,6,0,3,0,0
bra6man3colo1,6,1,0,3,0,0
colo4bra3moch2man1,3,4,0,1,2,0
colo4bra3moch3,3,4,0,0,3,0
colo4man4gua2,0,4,2,4,0,0
colo4bra2man2gua2,2,4,2,2,0,0
bra6colo3man1,6,3,0,1,0,0
moch5kili3bra2,2,0,0,0,5,3
colo4bra3moch2kili1,3,4,0,0,2,1
colo4bra3kili3,3,4,0,0,0,3
bra4man2colo2kili1gua1,4,2,1,2,0,1
bra4colo3kili2moch1,4,3,0,0,1,2
colo6bra2gua2,2,6,2,0,0,0
colo6kili4,0,6,0,0,0,4
colo4gua2bra2kili2,2,4,2,0,0,2
moch5colo2bra2kili1,2,2,0,0,5,1
bra6moch4,6,0,0,0,4,0
bra4colo4kili2,4,4,0,0,0,2
bra4colo3kili3,4,3,0,0,0,1
bra4colo3man2kili1,4,3,0,2,0,1
